,peak_time,mean_peak,sd_peak,mean_ss,sd_ss,promoter,filename,condition,pipette resist,seal resist,notes on raw data,notes on analyzed graph,,
1,5106.1,91.95471346,1.409388181,65.64916133,0.842928787,CMV,20220202_N2A_mp1_CMV2_pos_analyzed.csv,pos,5.16,1.93,,,,
2,5108.8,90.13091148,2.167925702,65.51387359,1.011004359,CMV,20220202_N2A_mp1_CMV2_pos_analyzed.csv,pos,5.16,1.93,,,,
3,5111.2,81.49406828,1.452532045,68.741495,1.520012335,CMV,20220202_N2A_mp1_CMV2_pos_analyzed.csv,pos,5.16,1.93,,,,
4,5106.9,80.34861111,1.171161553,64.44987592,1.063810295,CMV,20220202_N2A_mp1_CMV2_pos_analyzed.csv,pos,5.16,1.93,,,,
0,5376.9,63.99020139,0.942290939,63.36785439,0.621498819,WT,20220203_N2A_WT5_pos_analyzed.csv,pos,3.57,1.35,,,,
1,5391.5,59.4878246,1.085562255,59.22439864,0.649380629,WT,20220203_N2A_WT5_pos_analyzed.csv,pos,3.57,1.35,,peaks at end of stim,,
2,5394.4,54.75463578,1.009242656,54.22451159,0.622784818,WT,20220203_N2A_WT5_pos_analyzed.csv,pos,3.57,1.35,,peaks at end of stim,,
3,5381.2,53.27770677,0.822961711,52.49942253,0.621641886,WT,20220203_N2A_WT5_pos_analyzed.csv,pos,3.57,1.35,,peaks at end of stim,,
4,5302.3,51.08148271,0.850800139,50.8845749,0.589006508,WT,20220203_N2A_WT5_pos_analyzed.csv,pos,3.57,1.35,,peaks at end of stim,,
0,5270.5,138.1715336,3.363317365,122.452882,1.720143419,WT,20220203_N2A_WT2_pos_analyzed.csv,pos,3.35,1.25,baseline seemed to shift?,peaks at end of stim,,
1,5394.7,122.9653282,0.971107092,120.361132,1.393473389,WT,20220203_N2A_WT2_pos_analyzed.csv,pos,3.35,1.25,baseline seemed to shift?,peaks at end of stim,,
2,5311.2,117.9932169,1.505430913,115.8283217,1.628306628,WT,20220203_N2A_WT2_pos_analyzed.csv,pos,3.35,1.25,baseline seemed to shift?,peaks at end of stim,,
3,5385.5,109.188871,1.928094442,106.7706765,1.889206744,WT,20220203_N2A_WT2_pos_analyzed.csv,pos,3.35,1.25,baseline seemed to shift?,peaks at end of stim,,
4,5365.7,107.3942629,1.833540586,105.8043586,1.492270332,WT,20220203_N2A_WT2_pos_analyzed.csv,pos,3.35,1.25,baseline seemed to shift?,peaks at end of stim,,
0,5144.7,73.62573958,7.596655899,65.39347341,0.878139686,WT,20220203_N2A_WT3_pos_analyzed.csv,pos,3.59,1.37,,peaks all over stim,,
1,5369.3,68.42067314,1.425615832,66.3938027,1.036021715,WT,20220203_N2A_WT3_pos_analyzed.csv,pos,3.59,1.37,,peaks all over stim,,
2,5259.3,64.09570978,1.090603237,62.63899822,0.896038977,WT,20220203_N2A_WT3_pos_analyzed.csv,pos,3.59,1.37,,peaks all over stim,,
3,5388.7,64.54699511,1.072292594,62.82592264,0.953922593,WT,20220203_N2A_WT3_pos_analyzed.csv,pos,3.59,1.37,,peaks all over stim,,
4,5322.5,63.54188276,0.792987352,61.14954801,0.875541564,WT,20220203_N2A_WT3_pos_analyzed.csv,pos,3.59,1.37,,peaks all over stim,,
0,5395,73.99456768,0.586367658,73.20117316,0.550792161,WT,20220203_N2A_WT4_pos_analyzed.csv,pos,3,1.3,baseline seemed to shift?,peaks at end of stim,,
1,5374.2,68.97936107,0.529380773,68.31510978,0.539602455,WT,20220203_N2A_WT4_pos_analyzed.csv,pos,3,1.3,baseline seemed to shift?,peaks at end of stim,,
2,5393.5,64.90505546,0.778782405,64.30405152,0.573857447,WT,20220203_N2A_WT4_pos_analyzed.csv,pos,3,1.3,baseline seemed to shift?,peaks at end of stim,,
3,5388.2,62.67418326,0.98164602,62.18362799,0.512535354,WT,20220203_N2A_WT4_pos_analyzed.csv,pos,3,1.3,baseline seemed to shift?,peaks at end of stim,,
4,5392.1,59.81828816,0.871429315,59.02411483,0.571861425,WT,20220203_N2A_WT4_pos_analyzed.csv,pos,3,1.3,baseline seemed to shift?,peaks at end of stim,,
